score,content
1,폰으로 해도 렉없이 잘 돌아갑니다(s24). 단 1장 까지만요. 2장부터는 얘가 광견병이라도 걸린건지 물보면 발작을 하면서 진행이 안될 정도로 버벅이면서 못움직입니다. 컴퓨터로 진행할 분들이라면 큰 문제는 없겠으나 저처럼 폰으로만 즐기실거면 안하시는게 나을정도예요. 심지어 이 문제가 1월부터 말 나온 문젠데 딱히 고칠 생각도 없어보입니다.
4,게임 자체로는 좋으나 다른 요소에서 호불호가 갈리고 혹은 단점으로 뽑힐만한 것도 많다고 생각함
1,컨텐츠가 아닌 불편함과 재화수급으로 유저 플레이타임을 늘리려는 의도가 노골적이라 좀 그러네요...
4,출시전 명일방주 ip 기반의 오픈월드 라는 것만은 알고 있었습니다만 직접 플레이해보니 통합공업시스템(약칭 : 공장)을 할 수 있더라구요 저는 취향에 맞고 좋았습니다 특히 머리 쓴다거나 창작쪽의 일을 할 때의 행복하기 때문에 이런 게임은 환영입니다 많은 노력과 정성을 들인 게임인 것이 보여서 만족하고 있습니다 운영적인 측면에서도 설문조사를 꾸준히 받으며 개선하려는 의지가 좋게 보이네요
2,그지같은 bm 왜 전무를 끼워파냐고
1,설치가 안돼다
5,전선깔기
2,전송 누를 때마다 튕겨서 게임하기 힘듦.
1,오픈때부터 했지만 진짜 최악이네요. 명일방주를 재밌게 하고 있어서 깔았는데 접속할때마다 두번씩 강종되는건 기본이고 게임 렉이나 발열도 심함. 최적화는 둘째치고 BM도 악랄하기 그지없음. 계속 할 가치를 못 느끼겠어서 삭제합니다.
2,전투 매우 심각하게 재미없음. 스토리 개인적으로 재미없어 전부 스킵. 공장 어려운거 없고 그냥 간단하게 건설하고 자동화 가능 그걸 더 깔끔하고 완벽하게 자동화 시키는게 재미있음. 즉 공장 빼고는 심각합니다.
5,PC로 하고있는데 굉장히 깔끔하고 타격감도 좋음 단점:확률 버그. 캐릭터 버벅거림 버그. 랜드 브레이커와 아군 IQ 0 등 장점:공장 운영 시스템. 반오픈 월드. 1점 주는 애들은 뭐하는건지 생각이 안됨
5,이거 완전 재밌지만 취향이 확확 달라서 직접 공장을 만들고 재료 만드는 게 성취감이 있고 캐릭터 키우는 맛이 있습니다 이 게임 전작을 하시는 분들은 대부분 좋아 할꺼라고 생각합니다
5,길게 말 안한다. 펠리카 개이쁨
3,"공장이야 청사진 있다도르 치고, BM 진짜 이딴식으로 계속 가려고? 천장 한 번 치려면 오픈 초인 지금도 모든 광산을 다 쳐갈아마셔야돼. 이게 맞는거냐?"
1,천장 이월 왜 없음?
1,bm은 캐릭터의 120천장이월불가 이것도 쥰내 크지만 문제는 무기임 무기가 처음보면 혜자처럼 보이게 해놨지만 픽뚫75퍼? 이게 말이 안됨 더욱 이상한건 캐릭을 뽑으면 가챠권을 줘서 혜자같지만 캐릭을 뽑아서 주는 재화량이 조온나게 적음 그래놓고 픽뚫 5성무기가 쓸만한가? 이 무기들이 픽업무기랑 비비려면 풀재는 해줘야 비비는 수준 어떻게는 구조가 유저의 돈을 빨아마시려는 구조인데 그냥 역함
3,해묘야 나 말라죽는다 일퀘 주간퀘로만 살기엔 너무 힘들다고..
5,"집라인이나 뭐 재화 얘기들 많은데 노력하면 다 되는문제 입니다 애당초에 엔드필드 조금만 찾아봐도 돌아다니면서 집라인 설치 해야된다고 이미 다 나와있고 공장 게임이라는 말도 있는데 다 무시하고 돌아 다니기 힘들다? 그러면 다른게임을 하시면 됩니다 그리고 재화들은 하다보면 모이는게 재화입니다 그리고 게임내에서 이벤트도 많이 나오고 있고요 지금 레바테인 천장,질베 반천장 이본 천장인데도 현질한게 패스말곤 없습니다 패스가 재화를 더 많이줘서 그런거 아닐까라고 말하는 사람 있을텐데 주긴 줍니다 주는데 겨우 10뽑 될까말까입니다 그러니까 그만 찡찡되세요 편의성 문제도 지적하던데 애당초에 게임이 이런거지 다른게임 편의성에 익숙해져서 다른게임한테 그걸 요구하는게 맞다고 보나요? 충분히 이 엔드필드 게임 상당히 재미있고 불편한점 하나도 없습니다 커뮤니티도 활발한 편이라 정보도 많습니다 그러니까 좀 찾아보고 떠드세요"
1,가챠 너무 맵고 픽뚫이 너무 심함 이거 처음에 퍼주는 걸로해도 한 파티 구성하고 다음 파티 꿈도 못꿈 (파티에 구성원 전용무기 구하려면 무조건 가챠로 얻는 재화인데 그럼 결제하거나 해야지 가능함 무과금은 꿈도 못꾸는 구조임)그리고 그걸 위한 재화가 너무 쪼여놔서 모든게 할게없고 느림 다른게임하면서 즐길거면 상관 없을 듯 너무 매운 시스템 처음엔 못느낌!
4,오픈때부터 달렸는데 슬슬할께 없음
1,"원신,명조 하거나 해본 유저는 알거임 더럽게 불편하고 재화도 너무 짜다. 공장 시스템 좋아하는 사람은 좋겠지만 솔직히 굳이? 싶은 요소임 지능 문제라는 진성 팬 의견 있는데 너 실컷해라 ㅋㅋ 타게임보다 부실한 부분을 공장 시스템으로 떼운 느낌인데 ㅋㅋ 벽타기 정도는 넣어두면 좋겠음 오픈월드 게임인데 바로 앞에 작은 턱이라도 있으면 평지로 돌아서 가는데 ㅈ 나 말이 안됨 ㅋㅋ 일단 여기서 에반데 1스택 적립함 그리고 오픈월드는 딱히 리세 잘 안하는데 어차피 나중에 다 얻기도 하니까 하지만 엔필은 재화 수급 너무 짜서 리세 돌려봄 근데 계속 뜨는 ㅅ 끼만 잘 뜸 조작이냐 ㅋㅋㅋㅋ 뭐 이것저것 따질거 많은데 할 일 없고 친구 없고 시간은 많은데 인생에서 자랑할만한게 지 공장 도면인 놈들이라면 게임 추천한다 그게 아니라면 차라리 원신, 명조나 해라 아 장점은 있지 그래픽,디자인은 잘 뽑긴함 이거 말고는 글쎄 뭐가됐든 유저 감소하면 게임사뿐만 아니라 게임하는 니들도 손해라고 ㅋㅋ"
5,아니 찍먹만 하려고 했는데 정신차리고 보니 너무 깊게 들어왔음... 뭐 앞으로 겜이 크게 사고 치는게 아닌 이상 벗어날 수 없게 되어버렸다... 어떡하냐 캐릭 얘도 이쁘고 쟤도 이쁘고 매력 터지고 아
1,bm이 너무 악마같다 게임 개선도 좀 해달라 제발
1,노잼
1,흠...... 그정돈가
5,호불호 갈리긴 해도 취향 맞으면 재미있음
4,사전예약유저긴하지만 초반에 너무 내 취향이 아니라 탈주하고 거의1달만에 돌아왔다.그런데 유튜브에 캐릭모델링이 쩔어서 다시 찍먹하러왔었다 근데 진짜로 출시날부터 진짜로 많이 뿌렸다 진짜로 뭔가를 많이 뿌렸다 돌아오고 뽑기를 하는데 6성을 무슨 20번만 뽑아도 나오게 만든 것 같을 정도로 정말 확률이 수상하게 좋다 6성도 무료로뿌리고 뽑기재화도 뿌리고 무기도 모델링 잘되어있고 제일 문제였던 이 공장만드는 것을 다시 해봤는데 생각보다 맛있다 진짜 관리자 귀여워서한다 내가퍼리는 아닌데 퍼리가 좋아진다 진짜 어떻게 이렇게 모델링을 할 수있는것이지 근데 공장 만드는게 살짝 어렵다 공장이 취향이면 당장 시작해라 아니여도 한번은 먹어봐라 관리자가 맛있음
3,가챠는 얼마 안해서 모르겠고... 초반부터 너무 일이 많아서 막막함... 이후 업뎃마다 새로운 지역 열리고 그에 따른 배치도 다 달라지고 할텐데 일일이 하게 된다고 생각하면...어우...힘이 쭉 빠짐... 바쁜 현대인 입장에선 할게 못될듯...
5,최근 나온 신작중 가장 완성도 높다고 생각함
1,머틀 ㅇㄷ?
1,탈코르셋????? 그럼 나는 탈엔드필드ㅋㅋㅋㅋㅋ
4,"캐릭터 자체는 잘 나옴, 최적화 및 환경 작용이 괜찮음 공장 요소는 호불호 가 있음(팩토리오 계열 좋아하면 ㄱ추)"
5,재미있고 최적화가 좋다 스토리가 흥미롭고 다음이 기대된다 캐릭터들이 매우 매력적이다
5,컬리티도 너무 좋고 캐릭터들도 예뻐요
1,재미없음
5,지능낮은애들한테는 어려운게임
5,인생겜인데 학업으로. 쉼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1,아 좀 픽업 열리면 뽑을 수 있게 하라고. 왜 업데이트 돼도 뽑으면 손해보게 만들었는데.
