score,content
5,취향에맞으면 이만한게 없긴해
2,"공장겜5000시간정도 한 사람으로써 공장 시스템이 너무 불편하고 재미없다고 생각함 공장에서 나온 자원이 딱히 쓸데가 없고, 테크트리가 공장에서 나온 자원으로 업글하는게 아닌 맵에서 공업포인트만 모으면 바로 다 찍을 수 있어 재미가 없고, 정보가 나눠져 있어 매우 불편하고, 공장 시뮬레이션이 너무 기본적이라 쓸데가 없고, 통계가 정확하지도 않음"
5,이제 리세거지들 다 갔냐? 120천장에 전무뽑도 주는데 180뽑 받고 BM이 창렬이란다 ㅋㅋㅋㅋㅋ 1트럭 10만원 넘고 180천장에 전무뽑 따로 돈들여 뽑는 게임들 혜자니까 그거하러 가라 난 1트럭 10만 안하고 120천장에 전무뽑티켓도 주는 창렬겜 하련다 식당에서 음료수 무료제공 셀프 해주니까 서빙하라고 깽판치고 에비앙 없냐고 깽판치는 진상손놈보는거같네 ㅋㅋㅋㅋㅋ 태어나서 무뽑을 꽁으로 줘서 불쾌하다는사람은 처음봤음 ㅋㅋㅋㅋㅋ
1,마지막꺼 코팅좀하자 보스가 뭐이리 뒤로 갑자기 쳐빠져댐???? 라라로 일격을 못날리잖아 그리고 보스 무적시간이면 알수있게좀 만들어놔라 궁썼는데 왜 안쳐맞는건지 이해를할수가없네 ㅇ?????
5,공고 다닙니다 ㅖ 엄청 재밌누 ㅋㅋ
5,재밌습니다
4,최적화가 진짜 좋아요. 이 퀄리티와 모델링을 가지고 모바일로 잘 굴러가는거 쉽지 않은데... 오픈한 지 얼마 되지 않았는데 유저 친화적이고 좋아요. 근데 스토리가 조금 취향이 아님
5,정말 재밌어요
1,여캐릭 싹다 똥 쓰래기네
1,여풍 픽뚫에 6성 두개나오고 다 상시냐 진짜 2연속 픽뚫을 레바테인이랑 질베르타에서 둘다 쳐당하네 망겜 다신안한다 ㅗ
5,생각보다 1점 리뷰 남긴사람들 보면 1일차 2일차 만에 접은 사람들 많은데 하다보면 뽑기권 수급도 점점 많아지고 확률도 생각보다 좋음 120번 뽑아야 확정이여도 중간중간 보상이 많아서 뽑기는 괜찮음. 다른 서브컬쳐 게임에 비하면 공장이라는 다른점이 있는거가 호불호 인거같은데 이런 다른점이 있는 서브컬쳐도 있어야 좋다고 생각함. 뭐 안좋은 점들도 많긴하지만 이게 나온지 얼마 안되서 그렇다고 보고 점차 개서 해나갈거라고 믿고있어서 별 5점을 줬음.
1,공장 불편함
4,"시작전 시간 버리지 말고 유튜브에서 중년게이머 김실장에서 리뷰 보고 시작하는게 좋을듯함 요약 잘 해놔서 찍먹 전에 도움이 많이됨 전반적으로 호불호 갈리지만 잘 만든 게임이고 차별화가 분명하고 컨텐츠의 양이랑 깊이도 있어서 본인은 좋은데... 문제는 스토리, 뽑기가 진짜 게임성을 망칠 정도로 구리다 스토리중 대화는 게임 연출, 배경이랑 안 어울리는 초딩 수준의 대화라 짜치긴했음 명방을 6년하면서 픽업이 불편한 적이 없었는데 엔필 bm은 확실히 개선이 필요해 보인다 과금을 하고 말고 문제가 아니고 희망 고문 하는게 심하게 짜증나고 무과금러나 소과금은 픽업 자체가 기대보다 스트레스로 다가옴 개인적으로 닌텐도 플스 같은 패키지 게임 유저라 많은 컨텐츠가 부담 스럽지 않았는데 폰게임을 위주로 하는 유저면 시작하자 마자 역겹다고 할 수도 있을거 같음 결론 해묘야 스토리좀 어떻게 해보자"
4,요즘 트랜드인 뜌따이를 역행해서 불편함을 강요하는 게임. 철학은 느껴지지만 통할까?라는 생각도 든다. 그래도 떼깔은 좋아서 1년 정도는 발전성을 지켜보고싶기도 하다. 근데 다른 건 몰라도 Y축 활용에 대한 불편함은 좀 해소해줬으면
5,"공장이라는 컨텐츠를 처음 겪어봐서 처음엔 게임을 이렇게 공부하듯 해야하나 하는 생각이 들었지만 차근차근 해나가다보니 공장이 잘굴러가게 만들었을때의 성취감이 생각보다 커서 재밌게 하는중. 일단 전작 명일방주에 대한 애정이 있고 그래픽, 캐릭터, 세계관이 맘에 들었기때문에 초면인 공장에도 그만큼 에너지를 쏟아부어보는게 가능했던듯."
1,게임 자체의 퀄리티를 제외하곤 소비자에게 불쾌함만을 주는 시스템밖에 없는 게임
1,이딴걸 왜함? 시간 개아까움
4,재미는 있다. 잘 만들었다. 하지만 다른 사람에게 추천할 수는 없다.
5,공장이 호불호가 많이 갈리기는 했는데 개인적으로 재밌었어요
5,갓겜이 확실하다 10뽑으로 픽업 1돌 하고 10뽑 2번 으로 전 픽업이란 이번 픽업 전무 먹었다
5,해묘야 개꿀잼이다 업데이트만 잘하자
5,호불호 갈릴만한 요소가 많지만 진짜 잘맞으면 하루종일합니다 시간이 녹아요
5,공장 더 많은 공장을 내놔 공장
5,개갓겜
5,최적화 goat
2,캐릭터 디자인도 스토리도 너무나도 맘에 들지만 산업화 게임이라서 너무나도 나랑 안맞는 게임이라 뭐같은 게임. 공장 만들고 돌리는거 싫어하면 지옥이 따로 없습니다
5,"진짜 미치겠어요... 이 나쁜 겜 때문에 제 수면패턴 부서지고 너무 재밌는데 진짜... 늦게 자게 됐어요. 이 게임 하실 거면 진득하게 하실분만 하세요. 찍먹은 절대 못 하는 게임이기도 하고 캐릭터들 너무 매력적이라 시작했는데 왜 나는 전선깔고 공장남 돌리고 있는 걸까... 개선점이 조금 필요하긴 해요. 길 찾는 걸 너무 어렵게 해놔서 힘들어요. 스토리 진행할때 지하, 1층, 2층 이런 거 구분 없이 그냥 위치만 알려줘서 지도 안 보고 가면 다른 층이고 길이 너무 복잡해... 잡몹도 쓸데없이 단단해서 불편하고요. 화상파티는 상대 공격모션 안 보여서 못 피하고, 무슨 지렁이같이 생긴 몬스터가 있거든요? 걔들은 진짜 공격하는 모션이 없다싶이 해서 그냥 죽고... 개선이 필요하다고 느껴요. 나머지는 전부 만족합니당"
5,다 필요없고 업데이트가 점검시간이 몇시간단위도 아니고 단 10분임
5,컨텐츠더내줘!!! 더이상퀘스트가없어 공장도 더복잡하게내줘!! 60랭이상도 뚫어줘!!!
1,노잼
2,공장이 너무빡셈. 짚라인깔기 귀찮. 잘만든게임맞음. 취향 겁나탐. 나처럼 케릭만보고 전투만 할 생각이면 그냥 돌아가서 명조하면됨.
5,굳
1,게임을 플레이하면 너무 팅겨요 렉걸리면 버벅거리듯이 팅기고 용량을 너무 차지하고 게임 시작한지 얼마 되지도 않았는데 폰이 뜨거워져요
5,"명일방주 세계관을 처음 접해보는 이로써 리뷰를 남겨봅니다. 우선 컴퓨터와 모바일 둘 다로 해본 입장에서 보았을때 그래픽이 정말 대단하다고 생각했습니다. 최적화를 잘했다고도 생각했고요. 또한 호불호가 많이 갈리는 공장 시스템은 공장을 통해 노가다 요소를 확실하게 줄일 수 있는 방법이라고 생각하고 처음 접해보는 것이라 더욱 신선하게 즐길 수 있었던 요소라고 생각합니다. 전투 면에서 보았을땐 밋밋한 부분이 있다고 하는데, 저는 이 정도면 훌륭하다고 생각합니다. 적들과 아군들에게 특수 상태 같은것이 부여되는 것이 매력적이었던 것 같네요. 스토리 또한 게임 출시 이후 시간이 많이 지나지 않았기에 이후의 스토리가 기대되네요. 그런데 게임의 아이덴티티인 공장 시스템 자체도 굉장히 잘 만들어졌는데 자신이 공장이 싫다며 나쁜 평을 주는건 애초에 게임을 왜 깔았는지 의구심이 드네요. 게임의 미래를 기대하겠습니다."
5,한줄 설명 (80m 전선 설치)
5,부디 거점 업그레이드 할때 주둔지 방어는 없애주십시오 정말 이게임 좋아하지만 자동방어? 는 정말 쓰레기시스템이고 재미도 없습니다.
1,가챠 bm 미친거같음
4,"내가 이 게임을 몇 번 깔았다 지웠다 하는건지... 기능 하나만 제발 추가해주세요... 등반은 바라지도 않으니 점프했을 때, 캐릭터가 절벽 위에 어느정도 걸리면 그거 붙잡고 올라가는 그런 시스템... 오픈월드라기엔 너무 제약이 많고, 공장겜이라기엔 전투가 조금 걸립니다 근데 내가 이걸 왜 또 깔고 있는건지... 언제 또 현타 느끼고 지울진 모르겠지만, 젠장맞게도 계속 생각나네요 열받네 거 참 기능 추가 부탁 좀 드리겠습니다..."
2,"와 진짜 3보컷씬 수준으로 스토리 끊어놨음. 안 그래도 공장 차리고 이것저것 할 거 많은데 스토리 몰입 하지말라고 옆에서 싸다구 날리는 수준. 심지어 컷씬 재생중에 레벨업 안내, 아이템 획득 안내나와서 유저 입장에서 플레이 하며 헛웃음 나오는게 한두개가 아님. 컨텐츠 욕심이 과해도 너무 과했다. 길 가다가 서브퀘 하나 뭐 하려해도 일단 전력탑부터 박느라 패스했더니 저널이 무슨 팔만대장경 됨."
5,솔직히 완벽한 게임이라고 말하지는 못하겠습니다. 그래도 저에게는 충분히 매력적인 게임이라 생각하고 현재 있는 문제점들은 점차 개선해나가리라 믿습니다.
5,솔직히 호불호가 많이 갈리는 요소가 있는건 사실이나 굉장히 잘만든 게임임. 정말 오픈하고 일주일정도는 잠도못자고 붙잡고 플레이했음. 게임에서 플레이어에게 불편함을 주는데 이를 해결하는 과정을 직접 설계하고 수행하다보면 성취감이 장난아니고 애착이 가게됨. 다만 전작에서도 그렇고 스토리텔링 방식은 개선할 필요가 있음.
5,게임은 할만한데 호불호 갈리는 부분인 가챠비용이 확실히 비싸긴함 오픈한지 얼마 안돼서 콘텐츠 부족한건 이해하는데 앞으로 업뎃하면서 고정적인 재화수급 콘텐츠를 늘려가는게 아닌이상 무소과금은 폐사 해버리기는 할듯
2,중계기 설치가 안되는데 어떻게해야하나요?
5,역시 호불호가 가장 많이 갈리는 부분은 공장 시스템인듯 이걸 잘 즐길 수 있으면 게임 재밌게 할 수 있고 그 반대의 경우는 그냥 복잡한 노동겜으로 인식될 듯함 난 전자에 해당해서 재밌게 즐기고 있음 그냥 공장시스템이 이 게임만의 차별점이자 아이덴티티라서 공장시스템을 없애거나 줄일 수는 없을거고 리뷰에 공장시스템 너무 어렵다고 하는데 알려주는게 많는건 맞음 근데 내가 해본 바로는 게임이 다 알려줘서 알려주는거 스킵하고 막 넘기지만 않으면 충분히 할 수 있었음 이 리뷰 작성날짜를 기준으로 별점이 4.0이던데 솔직히 게임에 비해 별점이 낮은거 같음
1,솔직히 레바테인 확정으로 1돌 할 동안 레바테인1마리가 안나오는게 말이 되냐 그것도 다른6성나와도 상시 놈들밖에 안나오고 상자빼고 미션다하고 다 노드랑 창고 만렙찍을동안 레바테인 1마리 밖에 안나오는게 말이되냐
5,호불호는 갈릴 수 있지만 굉장히 훌륭한 게임. 초반부만 좀 더 다듬고 지식을 너무 한번에 주입하려 하지 않았더라면 호평 일색이었을것.. 그 부분은 아쉬웁
5,지포스나우는 언제 가능함?
5,원래 공장시스템을 메인에서 빼면 좋을 것 같다고 리뷰썼는데 계속 해보니 공장이 재밌어졌어요...
5,멀티나오면 진짜 갓겜일듯
5,BM - 무소과금으로 컨텐츠 즐기기 충분. 풀돌 필요가 없음. 논란거리 생기는 이유를 전혀 모르겠음. 헤비 과금도 타게임에 비해 비싸다는 느낌은 없음. 시스템 자체가 조금 독특해서 오는 이질감일지도. 공장시스템 - 호불호 있다는 것. 충분히 공감. 다만 그 불쾌한 골짜기를 넘으면 극락의 정상이 존재함. 스토리 - 명방 원작에 비해서 많이 라이트 해진 느낌. 전작의 헤비하고 딥한 요소를 덜어낸거 같음. 개인적으로는 스토리가 최상은 아니더라도 욕 먹을 정도로 나쁘지는 않다고 봄. 시간을 많이 잡아 먹는다? - 맞긴 하나 천천히 즐기면서 타협을 봐야 한다고 봄. 이 게임은 최종 목표가 분재화가 가능하도록 하는 것임. 결국 시간이 오래 걸리는 것처럼 보이지만 설비 구축 완료하면 나중에는 오히려 할것이 없음. 경쟁컨텐츠를 꺼려하고 나만의 행성 식민지화를 만드는 것을 체험하고자 한다면 좋은 선택이 될 것입니다.
1,생각보다 액션은 별거없고 스토리는 누구라도 인정할만큼 수면제 질소포장이고 걍 서브컬쳐 공장돌리기 좋아하면 추천..
5,은근히 개꿀잼
1,공장 튜토리얼을 그렇게 길게만들면 안하고말지
5,"엔필=ㅈ소기업 단점 튜토리얼 더럽게 많고 공장 차리는 게임이라서 게임이해를 잘 못하는 뉴비들을 바로 잘라버림 장점 그래픽, 캐릭터 외형, 전투는 마음에 듬 내 개인평: 자동화 시스템인걸 다행이라 생각해야함, 옷에 물젖는 물리엔진이랑 카메라 시점에따라 캐릭터가 반응하는거 은근히 마음에 들었음"
5,이거하고 국내산게임다지움
3,공장 재미없으면 안하는게 맞음.. 첨엔 별로라 생각했는데 어느순간 빠져들었음 ㅋㅋ 스토리는 심각함.. 원신이나 요즘 겜들 보며 느끼는데 내가 필요없는 게임을 만들어놓고 무슨 몰입을 하란건지 참.. ㅋ 블루아카이브 정도라도 해줬으면 싶음
5,공장겜이 너무좋아
5,"오픈때 평점 2점 줬던 사람입니다. 전 리뷰 마찬가지로 저는 원붕젠명 니케 소녀전선을 플레이했던 사람으로써 적습니다. 최적화 : 진짜 원붕젠명 중에서 탑입니다 컴퓨터로는 i5 3세대, gtx1060, 핸드폰은 z플립6을 쓰고 있는데도 굿 컴터는 잔렉 좀 있음 스토리: 재미없어요 저도 그냥 스킵하고 합니다 BM : 돌파 빼면 원신이랑 비슷비슷해요 무기도 대체제가 많구요 근데 다른겜과 다르게 반천만 봐야지 마인드가 안됨 재화수급량 : 이게 10뽑당 5000개가 필요해서 그런지 재화가 좀 많이 주는 느낌이 들긴 해요 아마 맵 다 파먹으면 상시 포함 200뽑 넘게 줍니다. 공장 : 그냥 청사진 딸깍하면 끝 공장 안맞는데 하고 있는데 그냥 청사진 가져와서 딸깍하면 끝 패치, 소통 등등 : 필요한건 딱딱 패치하고 수정하는게 호감이였음 보스 난이도가 꽤 있어서 뉴비들이 힘들어 할 때 상시 6성 그냥 뿌려버림 아직 초창기라 상시캐는 엠버빼고 성능 굿 캐릭터 디자인 : 질베르타 이본 로사 너무 이쁨"
2,할건많은데 애매한듯. 사료 적어서 bm 매운거 맞음.
4,겜은 할게 많아서 재밌어요. 그런데 폰으로 돌리기에는 여러모로 에러사항들이 많이 생기네요. 액션도 살짝 아쉬운게 1시간정도 필드돌면 잠이 와요. 그래도 1버전 즐기다가 갑니다.
1,게임패드 설정이 개판 오류투성이
5,"일단 주인공 세력부터 엔드필드 '공업' 인 이유가 있음. 넓은 월드를 모험하는 게임이라기 보단, 넓은 월드를 뜯어서 발전시키는 게임이다. 만들때 샌드박스형 게임이라고 생각해줬으면 좋겠다고 했을 때 샌드박스적 요소가 제한적이여 보여서 의문이 들었었는데, 생각치도 못한 수십개 잡다한 장르의 수십개 잡다한 컨텐츠를 뜯어와 수직적으로 잡다하게 쌓아올려 이걸 해내버림, 실제로 뭔가 요상하게 샌드박스하는 기분이 가끔 든다. 이 밀도를 지속적으로 유지할 수 있을지는 모르겠지만 어떻게든 지속할 수 있다면 수작소리 확실히 들을듯. 초반만 놓고, 또 스토리만 거르고 보면 확실히 수작 이상이라고 생각함. 분량이 엄청나고 공간도 좁고 복잡하고, 또 공장 ui 때문에 핸드폰으로 하기는 조금 더 어렵고, 컴퓨터로 할수 있다면 컴퓨터가 좋음. 전반적으로 가챠가 들어간 스팀이나 콘솔겜이라 생각하는게 이해가 편할거임. 그리고, 제발 느긋하게 해라, 이게임 빡세게 으쌰으샤 하려 그러면 그때 진짜 사람 일찍 죽을듯"
1,하... 게임은 재밌는데 오늘 질베르타로 변경 한거같은데 전꺼 확정뽑기 10회 남았는데 없어져버렸네요.하...열심히 모아 했는데 기간이 너무 짧은거 같네요.
1,겜 만든곳이 일본이 아니라 싱가포르다. 말다했지
5,높은 중독성 시간순삭 게임
2,인게임 재화로 확률적으로 뽑기티켓 얻는줄 알았으나 1회만 이였다. / 뽑기가 혐오스럽게 나와서 추천하기 힘듬. 게임성만 놓고본다면 5점이긴 하지만...
5,"게임을 100시간 정도 한 유저입니다.먼저 게임 그래픽,최적화와 노래들은 모두 최상급이 맞습니다.다만,반픈월드+공장이라는 신박한 구조로 게임을 만드니 당연하게도 호불호가 매우 심하게 갈릴 수 밖에 없는 구조입니다.저 또한 초반 공장 튜토리얼 보다가 굉장히 힘들어했었고요(지금은 전 좋아합니다만).또한 스토리도 메인스토리는 4번 협곡은 별로고 그 후부터 조금 괜찮아지긴 합니다만 서브스토리 자체가 너무나도 노가다가 심하고 재미가 없습니다.또한 공장시스템을 ""강제""적으로 하기 싫어하는 유저한테도 먹이니 당연히 호불호가 갈리죠. 또 오로베릴 수급량도 올렸어도 턱없이 부족합니다.명일방주 엔드필드 관계자분들.부탁드릴게요 요약 1.먼저 BM자체를 낮출 순없는거 압니다.그럼 오픈월드에서 오로베릴을 더 조금이 아닌 훨씬 많이 수급할수있게 해주세요.2.메인스토리는 괜찮지만 서브스토리의 노가다 정도가 굉장히 심하고 지루합니다.3.공장 시스템을 제발 강제적으로 하게 하려하지 마세요.이 문제점들만 제발.."
1,이겜은 어느정도 개선은한다하지만 Bm.천장구조 시스템바꿔야한다고본다
5,"아니 이거 스토리 검수 아예 안한것도 아니고, 이본 이전이랑 후랑 왜 같은 얘기 한번더함? 폭탄 사용방법 니네가 메인스로 주입시켜놓고 왜 이후에 번호만 2로 표기하고 내용은 똑같은 폭탄 사용 튜토리얼을 알리는거임? 폭탄 말고도 캐릭 장비 어쩌고 전부 니네가 강제로 하게끔해서 모르진 않을텐데 왜 굳이 또 알리는거임? 아니 걍 순수하게 이해가 안돼서 그럼. 니네 스토리 파트 둘로 나눠서 하냐?"
4,괜찮네
1,너무 강제로 공장을 밀고도록 해서 싫음 내가 왜 이걸해야함 이 생각이듬 예쁜 캐릭터가 한국전력직원같음 도저히 못하겠음 가능하면 선택할수있게 해줬으면 좋겠는데
5,재밌어요 취향저격 게임
5,"게임이 돈을 받아가기 위해서 이상하게 뭐 구조를 통해서 만들었다 뭐라나 하는데 원신,명조,명방 뭐든간에 다 돈 빨아 먹기 위해 만든거임 서브컬쳐 쪽으로만 가는게 아니더라도 이 세상에서 만들어진 뭐든간에 우리가 살아가는데 필요 하지 않은것들 게임,유흥,오락 등 모든것은 다 돈을 빨아먹기 위해 생긴것들 뿐임 돈을 빨아먹기 위해서 만든 게임 같아서 게임을 안한다고? 그럴꺼면 걍 돈을 안쓰면 되지 뭘 저러고 있어"
5,호불호가 심한게임인데 잘 맞는 사람은 완전 취향임. 약간 콘솔게임? 느낌임. 경쟁없이 자기 속도로 가면되는거라 오히려 편함. 느긋하게 즐기시길 바람
1,튜토리얼을 그대로 따라해도 완료가 안되면 어쩌라는거냐....청사진이 모양이 다르게 나오는데 어떻게 하라는건지...만들수도없고....할수있는게 없네 그냥 접으라는거지...
5,ㄹㅇ 재밌네 겜 완성도가 압도적으로 높은듯
1,필드도 괜찮고 플레이도 괜찮지만 제적및 공장시스템이 너무 불호였어요 너무 어려워 ...
4,슴슴하기도하고...매콤하기도하고..
1,아니 뭐 게임을 할 수 있어야 리뷰라도 쓰는건데... 일단 발열이나 기타 최적화좀 어떻게 해보세요... 사양이 안 좋은 기기가 아닌데도 불구하고 자꾸 강종되니 답답해 죽겠습니다 그냥
4,할거 많아서 좋긴 한데 이중 가챠가 좀 힘들어요. 캐릭터 뽑아서 무기 뽑기 재화를 얻어야 하는데 무기 픽뚫 확률이 높네요.
5,"애초에 효율 따져가면서 하는 게임이 아님. 뇌빼고 하기엔 안 맞는 사람이라면 솔직히 미리 빠지는 것도 나쁘진 않다고 생각함. 컨텐츠를 긴 게임 한다고 생각하면서 천천히 꺼내먹어야 엔드필드를 재밌게 즐길 수 있다고 생각. 이게 초반 평점이 조금 낮은 건, 최근의 모바일 게임들은 대부분 간편하고 심플한 구성으로 비교적 편한 조작에 쾌감을 느낄 수 있지만 엔드필드는 좀 긴 시간동안 불편함에 강제로 학습이 되어야 하기 때문에 불호가 심히 갈리는 듯함. 물론 자동화를 해야 하는 공장등이 있지만 초등학생도 따라할 수 있는 청사진 복사 기능이 있기에 그 점은 보완이 가능. 이게 내가 원하는 게 실현되기 시작하면 (집라인 빠른 이동, 공장 완전 자동화) 이만한 게임이 없다. ""서브컬쳐라 하기엔 너무 딥하고 공장이라 하기엔 너무 얕은"" 이라고 할 수 있기는 한데, 나름 중간의 타협점을 찾았다고 봄. 피드백은 1.0 기준 잘 수용하고 있고, 앞으로가 더 기대가 되는 게임."
3,갤럭시 s22쓰는데 자꾸 시작할때 몇 번 튕겨요
1,뭔 한자어 음차인지 이 게임 전용 용어인지가 너무 많아요.. 근데 뭔말인지 아무도 설명을 안해주고 지들만 아는 얘기를 해요... 근데 그게 게임설명에도 캐릭터 대사에도 아이템 설명에도 계속 나오는데 설명을 안해줘요... 번역이 제대로 된게 맞아요?? 이게?? 용어가 너무 많아서 모든 스크립트가 걸리적거려요
5,bm은 붕딱인데 재밌다 인정하기 싫은데 해묘랑 취향이 맞는 것 같음 컨텐츠 감당안되게 많아서 평일엔 출석만 하고 주말에 몰아 밀고 있음
5,이제 폰겜도 그래픽이 많이 발전했음이 느껴짐. 그래서 게임을 정말 많이 해본 나도 엔드필드는 마치 신작 스팀게임을 하는듯한 경험을 할수있었음. 문제는 이런 퀄리티로 업데이트를 어떻게 할지가 좀 걱정됨.
5,최적화 고트
2,재미없고 미션이너무많네요
5,제가 모바일 서브컬쳐게임하면서 이렇게까지 푹 빠져서 해본 게임은 이게 처음인거 같아요 다른 게임처럼 평범하게 파이 나눠먹기 싸움하는게 아니라 이 게임만의 고객층을 만들려는게 참 좋은거 같음
5,"다만, 게임 플레이 타임이 길어져서 피곤함도 한순간 컨텐츠 더 줘..."
1,뭐 이리 풀라는게 많은거고; 공장을 지으라 하질 않나 파쿠르를 시키질 않나 난 더 이상 못하겠다 원작도 이래요? 붕괴3+마인크래프트 합친거같아요
1,귀찮음이 과함 스토리가 지루함 과금이 불쾌함
5,엔필 억까 리뷰 복구용 별점5점 개인적인 별점은 4/5점
5,갓겜. 최고 👍
1,튜토리얼이 너~~~무 길고 지루하고 스킵도 없음. 빨리 게임하고싶은데 대화 개느리게 하고 너무 답답해서 중간중간 나감;; 아직도 튜토리얼 보는중 너~~~무 지루해요 그래픽은 좋음 근데 너무 지루해서 걍 삭제할까 고민중입니당
1,살다살다 초반 튜토리얼부터 못하겠는 겜은 처음이야...
5,굳이 시간낭비 ㄴ
5,취향만 맞으면 고트임
4,"뭔가 재미는 있는데, 많이 플레이를 못 하다보니 가장 기대하던 공장은 3일차에서야 겨우 자동을 조금 맛봄. 이 상태로는 공장 시작하는데 너무 오래 걸릴거 같아서 뭔가 계속 할 의지가 안 생기네요."
5,캐릭터 예쁘고 최적화도 잘하고 연출도 심장뛰게해서 계속하고싶은데 접해본적 없는 방식의 게임이라 중간에 하차함 친절하게 설명 나와있는데 나랑 맞진 않은것같아 아쉽 취향인 사람이면 정말 재미있게 할듯
5,스토리만 아쉽고 나머지는 취향 맞으면 이 게임 하느라 밤새는 나 자신을 볼 수 있음
1,BM을..! 석방하라..!
5,많은 씹덕들에게 본인이 좋아하는 공장겜을 가볍게 퍼먹여본다는 해묘의 목표는 이미 크게 성공했다. 이후부터는 100명중 5명꼴로 살아남은 파릇한 유입 공장러버들과 기존 공장겜 콘크리트 + 명방 IP팬을 끌어안고 더 하드한 시스템들을 출시하며 운영해나갈 것으로 보인다. 패키지게임의 문법과 공장류를 좋아하고 씹덕인 내 입장에서는 이만한 천국이 없으니 앞으로도 즐겁게 함께하고자 한다.
5,취향 많이타는 게임
1,공장겜 강요가 심함
1,게임인지 정신고문인지...맵찾아가는것도 어려워 이상한공장 짓는것도 어려워...보기싫은 이벤트영상 강제 시청까지...싫은것만 골라서 만든게임.
5,잼밌다
5,잘만들엇다 스토리만 좀개선해주면 더좋을것같다
2,이겜 오픈 초기 광산량이 없다시피한 수준. 20시간 했나? 15만원도 질렀음. 근데 아직 픽업 한 번을 못 먹었음. 아직도 40뽑 남았다.. 이거 2주 로테이션이던데 감당 안 될 것 같다.
5,개선되야되는것들 피드백도 빠르고 일단 걍재밋음
1,퇴근하고 나서도 야근해야됨?
5,"갓겜, 시작한지 4일만에 ㅡ완ㅡ 내버림. 6성 선택권 일찍 줬으면 픽업뽑기 현질 안했는데 ㅠㅠ"
4,스토리 리뉴얼이 시급합니다.. 4번협곡 스토리는 너무 지루합니다. 나머진 좋습니다
2,공장 농장 배달 호불호가 많이 갈림
5,이 게임은 학습장벽이 있고 천우에겐 어렵습니다
3,1. bm문제 80픽뚫나면 이월이안되고 날아감 강제로 40 억지로 들어가함 2. bm문제 1뽑에 50 10에 5000 80에 40000필요 추가 40 20000 총 60000필요함 1에 350에 10뽑에 35000으로 고정 제안 3. 350에 35000에 제안한 이유 트럭 93000짜리 초회만 388이고 1개당 75 총 29100임 반비율인데 초회없고 242로 18150임 5000으로 나누면 3.8이 됨 비효율적임 3500으로 하면 5 가 나옴
1,게임 리소스 받는데 천년만년 걸리네요 게임도 하기전에 삭제부터 하고 싶을정도로
2,정말 나쁘지 않고 할만 한데... 어딘가 지루하고 가챠가 너무 매움. 천장 시스템도 타게임과 다른데 안 좋은 쪽으로 다름. 개인적으로 이런 가챠 게임들은 스토리도 스토리지만 내가 뽑은 가장 강한 캐릭터를 보는 맛이 있어야 한다고 생각하는데... 안 그래도 주는 재화는 적은데 확률은 또 다른 게임이랑 똑같이 해놓은 게 문제... 원래 리뷰 잘 안 적는데 레바테인 못 뽑고 정 훅 떨어져서 찡찡댄 거 절대 맞음 흑흑
4,게임은 잘만들었는데 재화가 많이 부족함. 전작을 경험한 입장에서 잘 바꿔 나갈거라고 믿으며 1년정도 찍먹해볼 예정
5,공장 부분이 호불호가 갈리는 요소는 맞지만 나한테는 정말 잘맞았음 오히려 스토리 진행하는 것보다 제한된 광물 생산량과 공간안에서 최대한의 효율을 뽑아내는게 더 재밌었음 거기에 미소녀 오픈월드 추가라고? 못참지
5,"원신이나 명조같은 오픈월드 가챠겜을 생각하고 오셨나요? 땡! 틀렸습니다 당신에겐 이 게임이 안맞을 수도 있습니다 이 게임은 흔한 가챠겜 그래픽을 가졌을 뿐인 ""공장겜"" 입니다 그렇다고 하드한 공장겜은 아니고 팰월드랑 비슷한 난이도 입니다 스토리는 현재로서는 타타랑 같이 다닐 때 말고는 그닥 볼것이 없는게 아쉬운 부분인데 추후 업데이트로 더욱 좋은 스토리가 나온다면 좋겠습니다 아직 아쉬운 부분이 많지만 매력적인 요소도 분명 많은 게임이기 때문에 향후가 기대되는 게임입니다"
5,안하면 손해
1,하씨 근데 공장은 재밌어 스토리는 ㅈ박았는디 1점줬다가 5점줬다가 평점주기 고민되네...
5,재밌긴해~
3,"아직 개선이 매우 많이 필요한 미완성 게임에 가깝습니다. 색다른 컨텐츠들이 있다는 점이 그나마 장점이지만, 그 외의 불쾌/불편한 점들이 장점을 모두 잡아먹는 것 같습니다."
